model,outcome,auc,brier,n,macro_auc,macro_brier
bayesian_hierarchical,h1n1_vaccine,0.8332355935387551,0.11860356930215092,8903.0,0.8393162448405835,0.13881262285977858
bayesian_hierarchical,seasonal_vaccine,0.8453968961424121,0.15902167641740622,8903.0,0.8393162448405835,0.13881262285977858
logistic_ridge,h1n1_vaccine,0.871037214444274,0.10744342944822992,26707.0,0.8734211883119656,0.12441547465458891
logistic_ridge,seasonal_vaccine,0.8758051621796571,0.14138751986094789,26707.0,0.8734211883119656,0.12441547465458891
random_forest,h1n1_vaccine,0.8702500850460396,0.11165868287937385,26707.0,0.8725897468780426,0.1297082828968339
random_forest,seasonal_vaccine,0.8749294087100457,0.14775788291429395,26707.0,0.8725897468780426,0.1297082828968339
